scientificName,family,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate
Taxidea taxus,Mustelidae,35.8589,-108.7614,,1929-12-15
Taxidea taxus,Mustelidae,38.9572,-95.4765,,1946-01-25
Taxidea taxus,Mustelidae,39.4879,-118.9829,,1940-11-07
Taxidea taxus,Mustelidae,32.1754,-109.5791,,1950-07-05
Taxidea taxus,Mustelidae,41.7948,-115.4884,,1929-07-25
Taxidea taxus,Mustelidae,42.5843,-108.8579,,1948-02-04
Taxidea taxus,Mustelidae,44.3223,-97.7905,,1961-01-15
Taxidea taxus,Mustelidae,42.4791,-100.541,,1956-02-04
Taxidea taxus,Mustelidae,39.2792,-118.2884,,1947-02-15
Taxidea taxus,Mustelidae,42.8987,-110.971,,1950-07-16
Taxidea taxus,Mustelidae,39.5541,-118.8763,,1941-01-09
Taxidea taxus,Mustelidae,37.106,-101.9008,,1951-10-29
Taxidea taxus,Mustelidae,38.4803,-101.8089,,1929-10-15
Taxidea taxus,Mustelidae,45.442,-103.5876,,1968-06-07
Taxidea taxus,Mustelidae,49.0782,-119.0035,,1889-08-09
Taxidea taxus,Mustelidae,43.8744,-103.8557,,1964-07-01
Taxidea taxus,Mustelidae,39.4734,-118.908,,1945-10-27
Taxidea taxus,Mustelidae,45.7101,-97.4454,,1965-07-01
Taxidea taxus,Mustelidae,39.3914,-118.8829,,1942-10-15
Taxidea taxus,Mustelidae,39.3634,-101.3769,,1931-12-24
Taxidea taxus,Mustelidae,43.1087,-96.1657,,1970-07-25
Taxidea taxus,Mustelidae,39.4291,-118.9153,,1942-10-09
Taxidea taxus,Mustelidae,42.7756,-88.944,,1932-11-25
Taxidea taxus,Mustelidae,44.8872,-87.8645,,1996-01-21
Taxidea taxus,Mustelidae,44.438,-93.3497,,1990-10-30
Taxidea taxus,Mustelidae,44.9385,-84.7358,,1981-05-07
Taxidea taxus,Mustelidae,44.0806,-103.2311,,1935-01-01
Taxidea taxus,Mustelidae,37.7737,-121.5805,,2015-11-20
Taxidea taxus,Mustelidae,38.0281,-122.8406,28300.0,2015-05-15
Taxidea taxus,Mustelidae,33.0539,-100.5064,305.0,2016-11-04
Taxidea taxus,Mustelidae,45.2886,-85.1487,8.0,2017-09-17
Taxidea taxus,Mustelidae,38.9014,-113.7036,5.0,2018-04-08
Taxidea taxus,Mustelidae,38.3243,-122.6667,5.0,2018-06-17
Taxidea taxus,Mustelidae,38.1462,-104.4231,244.0,2018-05-12
Taxidea taxus,Mustelidae,32.3234,-110.9951,8022.0,2014-05-28
Taxidea taxus,Mustelidae,45.2886,-85.1487,8.0,2017-09-17
Taxidea taxus,Mustelidae,48.4677,-117.738,31.0,2012-06-24
Taxidea taxus,Mustelidae,32.3517,-111.0968,10.0,2015-02-28
Taxidea taxus,Mustelidae,46.6672,-119.3747,4544.0,2013-05-03
Taxidea taxus,Mustelidae,40.4058,-108.6175,,2017-05-22
Taxidea taxus,Mustelidae,33.1598,-116.0177,28998.0,2016-12-01
Taxidea taxus,Mustelidae,33.0541,-116.9405,3.0,2018-05-31
Taxidea taxus,Mustelidae,44.914,-110.3577,,2012-05-08
Taxidea taxus,Mustelidae,44.913,-110.3276,94.0,2013-06-16
Taxidea taxus,Mustelidae,43.8179,-116.4994,41221.0,2011-05-06
Taxidea taxus,Mustelidae,41.8972,-88.5368,5.0,2018-07-29
Taxidea taxus,Mustelidae,43.8947,-114.8224,87851.0,2009-08-11
Taxidea taxus,Mustelidae,29.2981,-103.2614,,2018-04-23
Taxidea taxus,Mustelidae,30.2288,-103.3546,,2018-05-11
Taxidea taxus,Mustelidae,26.1503,-108.7228,29891.0,2016-04-15
Taxidea taxus,Mustelidae,43.6398,-103.4624,61.0,2017-08-17
Taxidea taxus,Mustelidae,25.9276,-100.0485,29913.0,2016-07-13
Taxidea taxus,Mustelidae,37.7493,-112.3719,59.0,2018-07-15
Taxidea taxus,Mustelidae,29.1799,-103.5506,29533.0,2017-08-24
Taxidea taxus,Mustelidae,27.5215,-98.4775,4.0,2017-03-09
Taxidea taxus,Mustelidae,30.5424,-101.7111,29356.0,2016-04-16
Taxidea taxus,Mustelidae,33.1933,-116.1408,29012.0,2017-12-13
Taxidea taxus,Mustelidae,32.7718,-99.429,10000.0,2014-06-19
Taxidea taxus,Mustelidae,36.4912,-121.1795,28534.0,2017-07-16
Taxidea taxus,Mustelidae,30.2943,-103.138,2.0,2017-06-24
Taxidea taxus,Mustelidae,32.9443,-103.5106,73.0,2018-06-03
Taxidea taxus,Mustelidae,33.0591,-100.4981,4.0,2017-12-12
Taxidea taxus,Mustelidae,31.6363,-102.8238,5.0,2014-02-23
Taxidea taxus,Mustelidae,47.39,-91.205,,2017-10-04
Taxidea taxus,Mustelidae,43.6281,-82.793,31250.0,2017-07-08
Taxidea taxus,Mustelidae,41.749,-110.4921,16.0,2017-08-05
Taxidea taxus,Mustelidae,32.572,-116.7586,,2017-09-13
Taxidea taxus,Mustelidae,41.5552,-105.6876,2443.0,2016-04-17
Taxidea taxus,Mustelidae,35.4654,-113.1188,412.0,2016-03-24
Taxidea taxus,Mustelidae,36.7246,-121.2794,,2016-05-13
Taxidea taxus,Mustelidae,49.5582,-113.7379,,2017-05-31
Taxidea taxus,Mustelidae,36.5053,-121.0918,26.0,2016-05-24
Taxidea taxus,Mustelidae,33.1717,-116.1279,29012.0,2017-12-13
Taxidea taxus,Mustelidae,44.9895,-110.7046,,2018-07-12
Taxidea taxus,Mustelidae,41.0084,-103.9728,100.0,2016-12-27
Taxidea taxus,Mustelidae,31.6605,-101.7429,468.0,2014-06-07
Taxidea taxus,Mustelidae,31.0152,-108.2533,29278.0,2017-01-12
Taxidea taxus,Mustelidae,31.0003,-110.2603,29278.0,2018-06-25
Taxidea taxus,Mustelidae,31.3576,-109.1287,29252.0,2018-08-26
Taxidea taxus,Mustelidae,44.8685,-110.1746,,2016-07-24
Taxidea taxus,Mustelidae,30.2711,-103.4255,5.0,2016-08-31
Taxidea taxus,Mustelidae,33.8273,-98.2431,9.0,2014-10-20
Taxidea taxus,Mustelidae,34.3769,-118.4696,,2008-07-22
Taxidea taxus,Mustelidae,33.0085,-116.1603,29012.0,2007-06-25
Taxidea taxus,Mustelidae,41.4585,-120.531,420.0,2017-05-29
Taxidea taxus,Mustelidae,31.5238,-109.3029,4729.0,2017-08-19
Taxidea taxus,Mustelidae,44.8685,-110.1746,,2016-07-24
Taxidea taxus,Mustelidae,38.0942,-122.9138,,2015-05-20
Taxidea taxus,Mustelidae,42.7038,-85.4155,1202.0,1996-12-17
Taxidea taxus,Mustelidae,42.4081,-83.7563,940.0,1949-07-29
Taxidea taxus,Mustelidae,43.8903,-84.0943,1164.0,1997-11-14
Taxidea taxus,Mustelidae,42.4874,-83.9047,3906.0,1905-12-01
Taxidea taxus,Mustelidae,42.4342,-84.022,819.0,1939-07-20
Taxidea taxus,Mustelidae,45.571,-84.7857,,1998-07-18
Taxidea taxus,Mustelidae,41.8874,-83.5779,2412.0,1949-05-12
Taxidea taxus,Mustelidae,44.5311,-84.8589,1164.0,1997-11-03
Taxidea taxus,Mustelidae,42.8129,-85.2517,6854.0,1997-12-03
Taxidea taxus,Mustelidae,42.4278,-85.7683,1164.0,1997-11-09
Taxidea taxus,Mustelidae,46.0854,-118.905,818.0,1922-05-31
Taxidea taxus,Mustelidae,43.2514,-84.2779,1202.0,1997-11-07
Taxidea taxus,Mustelidae,42.979,-86.0136,1164.0,1997-12-04
Taxidea taxus,Mustelidae,43.2132,-83.4542,1302.0,1897-10-01
Taxidea taxus,Mustelidae,44.4597,-84.7902,1164.0,1993-11-11
Taxidea taxus,Mustelidae,42.2708,-83.7262,9683.0,1929-07-11
Taxidea taxus,Mustelidae,42.4342,-84.022,819.0,1923-06-08
Taxidea taxus,Mustelidae,45.5288,-84.8625,1164.0,1997-10-24
Taxidea taxus,Mustelidae,34.0544,-116.5721,7694.0,1949-10-02
Taxidea taxus,Mustelidae,34.1247,-118.777,3270.0,1987-10-18
Taxidea taxus,Mustelidae,33.7232,-116.2232,1067.0,1931-01-01
Taxidea taxus,Mustelidae,36.7308,-116.2321,,1967-07-27
Taxidea taxus,Mustelidae,35.2749,-117.934,8127.0,1973-01-09
Taxidea taxus,Mustelidae,35.2631,-117.9712,1207.0,1969-09-29
Taxidea taxus,Mustelidae,36.7846,-114.0571,6935.0,1949-07-16
Taxidea taxus,Mustelidae,35.3066,-117.9002,1609.0,1969-05-06
Taxidea taxus,Mustelidae,33.555,-102.279,,1980-04-22
Taxidea taxus,Mustelidae,33.616,-101.17,,1982-07-16
Taxidea taxus,Mustelidae,32.783,-102.645,,1990-07-14
Taxidea taxus,Mustelidae,35.7333,-120.2667,,1948-02-03
Taxidea taxus,Mustelidae,49.35,-120.9833,,1932-09-27
Taxidea taxus,Mustelidae,44.15,-81.0333,,1980-11-17
Taxidea taxus,Mustelidae,42.7898,-80.4699,,1991-08-01
Taxidea taxus,Mustelidae,30.8136,-102.8929,,2001-10-14
Taxidea taxus,Mustelidae,41.094,-105.5906,22248.0,1970-10-15
Taxidea taxus,Mustelidae,50.5086,-116.0313,,1945-08-29
Taxidea taxus,Mustelidae,34.4375,-119.8528,,1984-05-17
Taxidea taxus,Mustelidae,30.8939,-102.7947,,1938-08-31
Taxidea taxus,Mustelidae,37.4835,-105.1967,6989.0,1941-07-09
Taxidea taxus,Mustelidae,42.9904,-107.5697,355468.0,1974-01-15
Taxidea taxus,Mustelidae,31.285,-113.4519,,1980-06-10
Taxidea taxus,Mustelidae,34.2322,-113.6019,,1966-04-07
Taxidea taxus,Mustelidae,32.2217,-110.9258,,1933-04-01
Taxidea taxus,Mustelidae,24.8561,-100.6999,,2009-03-23
Taxidea taxus,Mustelidae,47.64,-120.2173,174.0,1962-07-13
Taxidea taxus,Mustelidae,26.9283,-113.1639,,1980-01-01
Taxidea taxus,Mustelidae,31.8699,-106.4406,386.0,1974-05-27
Taxidea taxus,Mustelidae,42.2788,-83.7512,,1860-01-01
Taxidea taxus,Mustelidae,24.8938,-100.7278,,2009-01-26
Taxidea taxus,Mustelidae,24.7651,-103.8367,,1987-09-28
Taxidea taxus,Mustelidae,30.31,-115.39,,2002-09-27
Taxidea taxus,Mustelidae,38.8528,-99.1286,,1960-08-15
Taxidea taxus,Mustelidae,43.634,-109.4808,969.0,1981-08-09
Taxidea taxus,Mustelidae,44.2299,-85.284,1164.0,1970-10-05
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1973-12-04
Taxidea taxus,Mustelidae,42.9904,-107.5697,355468.0,1974-01-04
Taxidea taxus,Mustelidae,32.2667,-110.8667,,1916-01-09
Taxidea taxus,Mustelidae,45.3,-93.5833,,1925-10-28
Taxidea taxus,Mustelidae,40.9438,-106.2936,1000.0,1913-08-22
Taxidea taxus,Mustelidae,31.5274,-100.5218,,2005-08-26
Taxidea taxus,Mustelidae,42.4632,-98.7623,,2010-11-13
Taxidea taxus,Mustelidae,42.6312,-85.7694,1164.0,1990-01-01
Taxidea taxus,Mustelidae,40.3509,-108.5995,,1960-08-15
Taxidea taxus,Mustelidae,26.6667,-103.7333,,1993-10-02
Taxidea taxus,Mustelidae,45.5462,-116.8501,298.0,1979-04-19
Taxidea taxus,Mustelidae,24.8404,-100.6714,,2009-11-17
Taxidea taxus,Mustelidae,19.1123,-99.1822,,2004-12-10
Taxidea taxus,Mustelidae,42.4959,-120.8764,8059.0,1952-08-28
Taxidea taxus,Mustelidae,39.0356,-100.1548,,1978-07-28
Taxidea taxus,Mustelidae,45.1195,-84.1743,1164.0,1990-10-29
Taxidea taxus,Mustelidae,26.9103,-102.0144,,1997-04-11
Taxidea taxus,Mustelidae,42.7298,-84.3259,6854.0,1979-11-07
Taxidea taxus,Mustelidae,31.4346,-100.4324,,2000-09-05
